PWY-5695	PWY-7790
PWY-6126	PWY-7222
PWY-5667	PWY-6902
PANTO-PWY	PWY-6125
PWY-6124	PWY-6703
ILEUSYN-PWY	PWY-6700
PWY-1042	PWY-6147
PWY-6124	PYRIDOXSYN-PWY
PWY-6123	PYRIDNUCSYN-PWY
PWY-5695	PWY-6519
PWY-6700	PWY-7199
PANTO-PWY	PWY-7664
METH-ACETATE-PWY	P41-PWY
P461-PWY	PWY-1042
HISTSYN-PWY	PWY-5659
PWY-6126	PWY-7953
FASYN-ELONG-PWY	PWY-6519
PWY-6609	PWY-7977
PWY-7208	PWY-7357
ARGSYNBSUB-PWY	PWY0-1241
PWY-7953	THISYNARA-PWY
ARGSYN-PWY	PWY-6507
PWY-5103	PWY66-429
UNINTEGRATED	PWY-5103
ARGSYNBSUB-PWY	PWY-6700
BRANCHED-CHAIN-AA-SYN-PWY	PWY-7237
PWY-5100	PWY-6386
PWY-6608	PWY0-1319
ILEUSYN-PWY	PWY-6386
PWY-1269	SER-GLYSYN-PWY
UNINTEGRATED	ANAGLYCOLYSIS-PWY
ANAGLYCOLYSIS-PWY	PWY-5103
PWY-7357	PWY-7560
COA-PWY-1	PWY-6385
ASPASN-PWY	PWY-5941
PWY-5686	PWY-6163
UNINTEGRATED	ARO-PWY
UNINTEGRATED	PWY-7242
PWY-6703	PWY-7220
PWY-6125	PWY-7229
PWY-5121	PWY-7953
GLYCOGENSYNTH-PWY	PWY0-1297
PWY-2942	PWY-7220
PWY-6385	PWY-7221
ANAGLYCOLYSIS-PWY	ARO-PWY
HSERMETANA-PWY	PWY-7357
GLUTORN-PWY	PWY-5667
FASYN-ELONG-PWY	PWY-6700
ARGSYNBSUB-PWY	PWY-6386
PWY-5686	PWY-6122
PWY-5686	PWY-7560
PYRIDOXSYN-PWY	SER-GLYSYN-PWY
PWY-1042	PWY-7111
COA-PWY	PWY-6527
COA-PWY	NONOXIPENT-PWY
COA-PWY	PWY-6387
ARGSYN-PWY	COMPLETE-ARO-PWY
PWY-5973	PWY-7228
UNINTEGRATED	PWY-6936
PWY-7220	PWY0-1296
PWY-6609	PWY0-1296
PWY-7851	PWY-7953
