original_taxon	input_genus	input_species	gtdb_accession	match_status	gtdb_species	gtdb_genus	gtdb_family	gtdb_order	gtdb_class	gtdb_phylum	gtdb_taxonomy
g__Klebsiella.s__Klebsiella_pneumoniae	g__Klebsiella	s__Klebsiella pneumoniae	RS_GCF_000742135.1	exact_species_match	s__Klebsiella pneumoniae	g__Klebsiella	f__Enterobacteriaceae	o__Enterobacterales	c__Gammaproteobacteria	p__Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae
g__Klebsiella.s__Klebsiella_quasipneumoniae	g__Klebsiella	s__Klebsiella quasipneumoniae	RS_GCF_020525925.1	exact_species_match	s__Klebsiella quasipneumoniae	g__Klebsiella	f__Enterobacteriaceae	o__Enterobacterales	c__Gammaproteobacteria	p__Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella quasipneumoniae
g__Klebsiella.s__Klebsiella_variicola	g__Klebsiella	s__Klebsiella variicola	RS_GCF_000828055.2	exact_species_match	s__Klebsiella variicola	g__Klebsiella	f__Enterobacteriaceae	o__Enterobacterales	c__Gammaproteobacteria	p__Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella variicola
g__Kluyvera.s__Kluyvera_ascorbata	g__Kluyvera	s__Kluyvera ascorbata	RS_GCF_000735365.1	exact_species_match	s__Kluyvera ascorbata	g__Kluyvera	f__Enterobacteriaceae	o__Enterobacterales	c__Gammaproteobacteria	p__Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Kluyvera;s__Kluyvera ascorbata
g__Kluyvera.s__Kluyvera_cryocrescens	g__Kluyvera	s__Kluyvera cryocrescens	RS_GCF_001571285.1	exact_species_match	s__Kluyvera cryocrescens	g__Kluyvera	f__Enterobacteriaceae	o__Enterobacterales	c__Gammaproteobacteria	p__Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Kluyvera;s__Kluyvera cryocrescens
g__Kosakonia.s__Kosakonia_sacchari	g__Kosakonia	s__Kosakonia sacchari	RS_GCF_000300455.3	exact_species_match	s__Kosakonia sacchari	g__Kosakonia	f__Enterobacteriaceae	o__Enterobacterales	c__Gammaproteobacteria	p__Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Kosakonia;s__Kosakonia sacchari
g__Lachnoclostridium.s__Clostridium_aldenense	g__Lachnoclostridium	s__Lachnoclostridium Clostridium aldenense		genus_match_only							
g__Lachnoclostridium.s__Clostridium_asparagiforme	g__Lachnoclostridium	s__Lachnoclostridium Clostridium asparagiforme		genus_match_only							
g__Lachnoclostridium.s__Clostridium_citroniae	g__Lachnoclostridium	s__Lachnoclostridium Clostridium citroniae		genus_match_only							
g__Lachnoclostridium.s__Clostridium_clostridioforme	g__Lachnoclostridium	s__Lachnoclostridium Clostridium clostridioforme		genus_match_only							
g__Lachnoclostridium.s__Clostridium_lavalense	g__Lachnoclostridium	s__Lachnoclostridium Clostridium lavalense		genus_match_only							
g__Lachnoclostridium.s__Clostridium_saccharolyticum	g__Lachnoclostridium	s__Lachnoclostridium Clostridium saccharolyticum		genus_match_only							
g__Lachnoclostridium.s__Clostridium_scindens	g__Lachnoclostridium	s__Lachnoclostridium Clostridium scindens		genus_match_only							
g__Lachnoclostridium.s__Clostridium_symbiosum	g__Lachnoclostridium	s__Lachnoclostridium Clostridium symbiosum		genus_match_only							
g__Lachnoclostridium.s__Lachnoclostridium_sp_An118	g__Lachnoclostridium	s__Lachnoclostridium sp An118		genus_match_only							
g__Lachnoclostridium.s__Lachnoclostridium_sp_An131	g__Lachnoclostridium	s__Lachnoclostridium sp An131		genus_match_only							
g__Lachnoclostridium.s__Lachnoclostridium_sp_An138	g__Lachnoclostridium	s__Lachnoclostridium sp An138		genus_match_only							
g__Lachnoclostridium.s__Lachnoclostridium_sp_An169	g__Lachnoclostridium	s__Lachnoclostridium sp An169		genus_match_only							
g__Lachnospira.s__Lachnospira_pectinoschiza	g__Lachnospira	s__Lachnospira pectinoschiza	RS_GCF_900103815.1	unique_species_prefix	s__Lachnospira pectinoschiza_B	g__Lachnospira	f__Lachnospiraceae	o__Lachnospirales	c__Clostridia	p__Bacillota	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira pectinoschiza_B
g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	g__Lachnospiraceae_unclassified	s__Lachnospiraceae_unclassified Eubacterium rectale		no_species_or_genus_match							
g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_2_1_46FAA	g__Lachnospiraceae_unclassified	s__Lachnospiraceae_unclassified Lachnospiraceae bacterium 2 1 46FAA		no_species_or_genus_match							
